gene	expr	reptime	hic
EIF2B4	14.03489184	0.18	52
EIF2B5	14.18961502	0.33	42
EIF2D	13.07415752	0.27	19.41
EIF2S1	13.09032561	0.26	32
EIF2S2	13.70832727	0.38	55
EIF2S3L	12.69052604	0.37	9.55
EIF3B	13.58711072	0.25	43
EIF3C	13.35637143	0.13	29.63
EIF3CL	13.94646601	0.22	56
EIF3D	13.98448426	0.19	38
EIF3E	12.1404135	0.77	6
EIF3F	11.81398516	0.59	4
EIF3G	14.33154161	0.27	15
EIF3H	13.08867629	0.55	11
EIF3I	14.19446604	0.19	29
EIF3J	13.41154932	0.53	30
EIF3K	14.21846919	0.36	27
EIF3L	14.14125691	0.18	66
EIF3M	12.92007827	0.61	7
EIF4A1	14.4871409	0.19	24
EIF4A2	13.01695842	0.38	25
EIF4A3	13.42148971	0.24	22
EIF4B	14.36144808	0.17	38
EIF4E	12.32564519	0.5	11
EIF4E1B	13.27014525	0.32	40
EIF4E2	12.56655782	0.17	36
EIF4E3	11.21469462	0.48	3
EIF4EBP1	13.41803594	0.36	29
EIF4EBP2	13.22079595	0.22	46
EIF4ENIF1	13.52862417	0.24	19
EIF4G1	14.18501199	0.24	44
EIF4G2	13.58383698	0.26	21
EIF4G3	13.40290602	0.29	22
EIF4H	13.83745012	0.22	51
EIF5	13.75521263	0.18	37
EIF5A	14.46352176	0.25	36
EIF5A2	12.20520727	0.61	26
EIF5AL1	12.74524955	0.28	39
EIF5B	12.8670349	0.62	25
EIF6	13.46074807	0.16	9
ELAC1	12.14961869	0.31	51
ELAC2	11.44405759	0.65	-52
ELANE	14.5896855	0.2	28
ELAVL1	13.782449	0.3	19
ELAVL2	8.942199455	0.67	-40
ELAVL3	14.04343068	0.19	32
ELAVL4	11.44677498	0.81	-20
ELF1	12.58382392	0.45	39
ELF2	12.79076285	0.31	30
ELF3	13.5304025	0.15	31
ELF5	13.43750837	0.24	5
ELFN1	12.79097048	0.31	14.97
ELFN2	13.78498743	0.19	53
ELK3	12.49830933	0.54	23
ELK4	13.48849843	0.23	34
ELL	14.14448332	0.21	45
ELL2	12.6641808	0.18	51
ELL3	13.5725813	0.25	37
ELMO1	11.06449544	0.72	16
ELMO2	13.2052347	0.6	48
ELMO3	13.91941191	0.15	46
ELMOD1	12.61440364	0.64	-3
ELMOD2	11.74171704	0.73	7
ELMOD3	13.83711842	0.2	29
ELMSAN1	13.19123251	0.19	50
ELN	13.86190929	0.24	54
ELOF1	13.95734079	0.26	31
ELOVL1	13.9001467	0.25	27
ELOVL2	12.5069177	0.45	22
ELOVL3	13.8557154	0.17	45
ELOVL4	11.92964698	0.83	-14
ELOVL5	12.84646494	0.33	27
ELOVL6	12.22815209	0.51	23
ELOVL7	12.14834819	0.61	4
ELP2	12.87414814	0.4	41
ELP3	12.94220747	0.28	41
ELP4	12.01943579	0.77	-7
ELP6	13.69314968	0.2	44
ELSPBP1	13.68973076	0.43	29
EMB	11.19815992	0.84	-3
EMC1	13.57749446	0.41	30
EMC10	13.85307317	0.43	30
EMC2	12.14772293	0.85	21
EMC3	13.75880475	0.15	42
EMC4	13.02546253	0.24	11
EMC6	13.1317908	0.35	20
EMC7	12.92330738	0.28	1
EMC8	12.85090892	0.25	28
EMC9	13.78974034	0.21	41
EMCN	12.35357413	0.72	-5
EME1	14.10506937	0.2	24
EMID1	13.6586462	0.28	51
EMILIN1	14.00951115	0.24	50
EMILIN2	13.24442171	0.43	37
EML1	13.17758993	0.31	10
EML2	13.7648539	0.19	45
EML3	14.80719369	0.2	42
EML4	12.43465339	0.2	17
EML5	11.99299699	0.61	1
EML6	12.81313188	0.37	6.02
EMP1	13.36346315	0.19	-3
EMP2	12.34005706	0.27	8
EMP3	14.20670769	0.22	36
EMX1	13.01735613	0.36	23
EMX2	11.7806752	0.56	4
EN1	11.94502601	0.59	-8
EN2	12.49761849	0.56	-4
ENAH	13.51982454	0.2	2
ENAM	12.47705353	0.61	16
ENC1	12.59110373	0.54	26
ENDOD1	12.52007649	0.51	16
ENDOG	14.38544153	0.16	34
ENDOU	12.88686633	0.32	14
ENDOV	12.24992499	0.2	10.67
ENG	14.02815195	0.18	55
ENGASE	13.29204033	0.18	15
ENHO	13.64487288	0.37	55
ENKD1	13.92120662	0.13	46
ENKUR	11.98201618	0.14	8
ENO1	13.5931517	0.14	28
ENO2	14.81059399	0.21	47
ENO3	14.16346025	0.21	30
ENO4	13.64682112	0.49	35.94
ENOPH1	13.43628905	0.32	46
ENOSF1	12.94441305	0.42	32
ENOX1	11.509058	0.4	36
ENPEP	11.31237476	0.65	-3
ENPP1	12.0323857	0.71	-5
ENPP2	12.45094638	0.54	7
ENPP3	11.75862862	0.79	9
ENPP4	11.07756285	0.68	12
ENPP5	11.03679108	0.68	16
ENPP6	12.4566329	0.44	-5
ENPP7	13.35958812	0.3	31
ENSA	14.24961949	0.15	37
ENTHD1	13.61509061	0.52	24
ENTPD1	12.82367698	0.59	30
ENTPD2	14.4843338	0.19	40
ENTPD3	12.18500221	0.61	18
ENTPD4	13.07522984	0.31	37
ENTPD5	13.0014176	0.16	51
ENTPD6	13.31388086	0.38	-18
ENTPD7	12.95412932	0.22	12
ENTPD8	14.28032324	0.3	30
ENY2	11.81765638	0.71	20
EOGT	12.48270767	0.58	-2
EOMES	12.01604346	0.32	1
EP300	13.97011571	0.18	42
EP400	12.92041609	0.22	27
EPAS1	12.83637054	0.22	28
EPB41	13.33594617	0.22	30
EPB41L1	14.07807173	0.18	50
EPB41L2	11.71869496	0.65	17
EPB41L3	10.95835692	0.84	-5
EPB41L4A	12.01112167	0.64	28
EPB41L4B	12.72974736	0.32	15
EPB41L5	12.2944818	0.4	27
EPB42	13.63475577	0.33	43
EPC1	13.14600568	0.16	15
EPC2	11.42653935	0.61	7
EPCAM	13.60022976	0.2	37
EPDR1	11.52115154	0.62	10
EPG5	12.86173081	0.38	41
EPGN	12.05983226	0.33	18
EPHA1	12.83598179	0.37	15
EPHA10	13.00596438	0.38	30
EPHA2	13.67174411	0.19	37
EPHA3	10.2111193	0.17	-18
EPHA4	10.90573577	0.85	5
EPHA5	10.95208643	0.63	-19
EPHA6	11.40567427	0.81	-18
EPHA7	9.817166846	0.86	-25
EPHA8	12.91885332	0.54	25
EPHB1	11.22345513	0.72	9
EPHB2	13.2512613	0.46	29
EPHB3	14.09745269	0.41	47
EPHB4	14.10758821	0.29	48
EPHB6	12.55815807	0.64	18
EPHX1	13.73858632	0.17	8
EPHX2	12.72716736	0.4	36
EPHX3	13.23046952	0.38	20
EPHX4	12.46970149	0.24	1
EPM2A	11.24974086	0.75	-3
EPM2AIP1	12.88101512	0.47	21
EPN1	13.8651299	0.25	-11
EPN2	13.39782154	0.21	6
EPN3	14.242516	0.2	20
EPO	14.21022812	0.25	46
EPOR	14.14174413	0.19	31
EPPIN-WFDC6	12.81443494	0.38	17.1
EPPK1	14.68128285	0.23	22
EPRS	13.35406381	0.62	-8
EPS15	13.25150741	0.23	11
EPS15L1	13.58455532	0.26	19
EPS8	12.46776746	0.5	11
EPS8L1	13.93348558	0.27	-26
EPS8L2	14.39680732	0.19	48
EPS8L3	13.7461712	0.2	27
EPSTI1	11.59958011	0.33	33
EPX	13.65452692	0.35	14
EPYC	9.915317304	0.57	-33
EQTN	11.6669247	0.45	-34
ERAL1	14.34208708	0.15	31
ERAP1	12.88514372	0.27	36
ERAP2	12.88375841	0.38	58
ERBB2	14.06626305	0.21	38
ERBB3	14.80623172	0.16	38
ERBB4	9.937985593	0.86	-5
ERC1	13.1551732	0.39	25
ERC2	11.70997963	0.6	17
ERCC1	14.04603004	0.18	39
ERCC2	14.06272917	0.2	23
ERCC3	12.96831669	0.19	23
ERCC4	11.74287778	0.41	11
ERCC5	12.18813268	0.48	33
ERCC6	12.70041196	0.34	22.45
ERCC6-PGBD3	12.47896534	0.22	14.61
ERCC6L2	12.47152445	0.44	25
ERCC8	12.20267187	0.6	6
EREG	12.06683931	0.37	7
ERG	11.99696759	0.35	4
ERGIC1	13.12668204	0.17	47
ERGIC2	11.52163741	0.6	-3
ERGIC3	14.23142158	0.17	58
ERH	13.72273935	0.43	39
ERI1	11.90435926	0.41	44
ERI2	12.26285932	0.64	23
ERI3	13.53854816	0.26	29
ERICH1	11.57367243	0.77	-34
ERICH2	13.65117667	0.66	22.34
ERLEC1	13.66455337	0.57	41.07
ERLIN1	13.88344113	0.19	25
ERLIN2	13.33650655	0.45	9
ERMAP	13.60717434	0.33	28
ERMARD	12.36157099	0.43	3
ERMN	11.27635467	0.69	8
ERMP1	12.65774999	0.31	25
ERN1	14.19714325	0.39	16
ERN2	13.15595481	0.56	33
ERP27	12.74184061	0.43	8
ERP29	13.60825389	0.32	45
ERP44	12.41708693	0.59	19
ERRFI1	12.86705556	0.21	26
ERV3-1	12.28498548	0.83	-9
ERVFRD-1	13.46379495	0.42	32.825
ERVMER34-1	13.05202037	0.69	27.26
ERVV-1	12.8146605	0.82	16.86
ERVV-2	13.35369851	0.82	29.07
ERVW-1	13.20152665	0.4	29.58
ESAM	12.0355927	0.6	14
ESCO1	12.71669625	0.22	35
ESCO2	12.91567372	0.23	23
ESD	12.51431074	0.68	63
ESF1	11.72348618	0.64	-10
ESM1	12.23201326	0.6	13
ESPL1	14.33268101	0.18	49
ESPN	13.37575365	0.18	33
ESPNL	12.96841468	0.36	29
ESR1	12.30748688	0.53	0
ESR2	13.1769917	0.29	46
ESRP1	13.05558021	0.42	31
ESRP2	13.72141744	0.15	30
ESRRA	14.29422365	0.18	65
ESRRB	12.40297078	0.61	39
ESRRG	9.654962089	0.84	-28
ESYT1	14.87262145	0.16	40
ESYT2	12.56606259	0.36	1
ESYT3	12.21481433	0.4	19
ETAA1	10.49132977	0.39	-3
ETF1	13.58078393	0.2	37
ETFA	12.63666279	0.22	35
ETFB	12.81722041	0.57	-9
ETFDH	12.05168527	0.48	1
ETHE1	12.9385439	0.17	-10
ETNK1	12.23903826	0.64	2
ETNK2	13.23149039	0.31	34
ETNPPL	11.55549633	0.5	21
ETS1	12.27897453	0.65	28
ETS2	12.85402108	0.15	5
ETV1	10.74578723	0.86	-16
ETV2	13.96633629	0.39	27
ETV3	13.70538649	0.42	31
ETV3L	13.74748008	0.35	32
ETV4	13.9048301	0.15	21
ETV5	13.56775023	0.3	36
ETV6	12.36090738	0.61	31
ETV7	13.75672718	0.28	46
EVA1A	12.32267276	0.58	8
EVA1B	13.43789648	0.21	32
EVA1C	12.50187913	0.18	39
EVC	11.5239742	0.65	18
EVC2	11.14843434	0.61	19
EVI2A	12.50876318	0.39	16.06
EVI2B	12.0367826	0.39	7.34
EVI5	13.09919505	0.49	4
EVI5L	13.63667691	0.33	24
EVL	13.0245631	0.29	27
EVPL	14.29251401	0.16	22
EVPLL	13.31820269	0.22	30.61
EVX1	13.06867564	0.39	13
EVX2	12.4005492	0.76	15
EWSR1	13.6586462	0.22	51
EXD1	13.74633624	0.18	39
EXD2	13.61914768	0.33	39
EXD3	14.30551287	0.3	30
EXO1	12.06162474	0.22	-16
EXO5	13.46129402	0.45	31
EXOC1	13.26998651	0.41	12
EXOC2	11.96860195	0.65	36
EXOC3	13.57667198	0.4	37
EXOC3L1	13.91941191	0.15	46
EXOC3L2	14.12024442	0.24	38
EXOC3L4	13.7714155	0.2	36
EXOC4	13.33537901	0.77	12
EXOC5	12.08164823	0.78	13
EXOC6	13.23194218	0.37	36
EXOC6B	11.90672277	0.51	-1
EXOC7	14.29251401	0.19	22
EXOC8	12.84062361	0.57	2
EXOG	12.82994745	0.55	28
EXOSC1	13.49295267	0.19	40
EXOSC10	13.26588693	0.31	34
EXOSC2	13.13331519	0.21	24
EXOSC3	13.10081282	0.45	23
EXOSC4	14.81642402	0.21	27
EXOSC5	13.95399255	0.25	36
EXOSC6	14.11853976	0.14	37
EXOSC7	13.08066183	0.29	41
EXOSC8	12.08246329	0.63	16
EXOSC9	12.68960004	0.44	29
EXPH5	12.81994661	0.54	13
EXT1	12.15723423	0.51	18
EXT2	12.58219133	0.64	7
EXTL1	13.52588927	0.22	31
EXTL2	12.17358045	0.82	-3
EXTL3	12.90718304	0.29	42
EYA1	10.83916906	0.83	-3
EYA2	12.63160832	0.47	36
EYA3	13.62577398	0.29	28
EYA4	11.48697156	0.34	-8
EYS	10.27145846	0.71	-23
EZH1	14.36973872	0.18	36
EZH2	13.24337852	0.48	13
EZR	13.24325447	0.18	55
F10	13.55967205	0.26	26
F11	12.80693182	0.54	-12
F11R	13.56427098	0.35	19
F12	13.85344679	0.2	59
F13A1	10.70373873	0.67	22
F13B	12.30431035	0.78	-30
F2	13.77990618	0.18	48
F2R	12.46041637	0.43	46
F2RL1	12.42264264	0.36	25
F2RL2	12.66424948	0.55	7.33
F2RL3	13.71232989	0.3	31
F3	12.92788988	0.26	-7
F5	12.59274901	0.42	11
F7	13.5787269	0.28	14
FA2H	13.3258298	0.16	27
FAAH	13.30078902	0.23	28
FABP1	12.10600919	0.54	6
FABP12	12.13643314	0.6	0
FABP2	12.29501258	0.71	-1
FABP3	13.47044793	0.22	29
FABP4	12.16095498	0.6	1
FABP5	12.35290518	0.46	42
FABP6	12.19738502	0.42	38
FABP7	11.83706482	0.86	-1
FABP9	12.16095498	0.54	1
FADD	13.54789513	0.29	34
FADS1	14.02999916	0.21	59
FADS2	14.29721052	0.21	64
FADS3	14.50786693	0.21	69
FADS6	13.84265577	0.32	20
FAF1	12.37892451	0.59	-5
FAF2	13.29138353	0.29	47
FAH	12.21184098	0.56	32
FAHD1	14.28838693	0.29	36
FAHD2A	12.45074674	0.5	19
FAHD2B	13.15221146	0.48	38
FAIM	12.19693603	0.52	26
FAIM2	14.07154715	0.22	45
FAM102A	14.28807902	0.19	61
FAM102B	13.33061256	0.34	-3
FAM104A	12.23131145	0.34	-15
FAM106A	13.31824471	0.23	35.31
FAM107A	13.19000894	0.32	31
FAM107B	12.45329594	0.31	36
FAM110A	13.62242568	0.56	36
FAM110B	12.15720798	0.6	15
FAM110D	12.4097273	0.19	13
FAM111A	13.20343079	0.67	9
FAM111B	12.98794931	0.68	-6
FAM114A1	12.82271128	0.39	63
FAM114A2	12.05163276	0.59	5
FAM117A	13.80872861	0.35	26
FAM117B	13.21751536	0.45	26
FAM118A	13.04264462	0.28	26
FAM118B	13.10963674	0.21	28
FAM120A	12.95146592	0.48	35
FAM120AOS	12.95418138	0.42	26
FAM120B	12.81176199	0.62	-4
FAM122A	13.20496862	0.43	23.7
FAM124A	12.07643082	0.48	37
FAM124B	12.6468148	0.44	12
FAM126A	13.87735984	0.41	26
FAM126B	13.37948624	0.2	33
FAM129A	12.76423595	0.48	3
FAM129B	13.66214257	0.2	46
FAM129C	13.77639544	0.2	42
FAM131A	14.18501199	0.24	44
FAM131B	12.84717625	0.37	29
FAM131C	13.68324123	0.2	40
FAM133B	13.52101734	0.35	24
FAM135A	11.64564528	0.61	11
FAM135B	8.730205596	0.81	-37
FAM136A	13.41693864	0.16	38
FAM13A	11.98902299	0.52	8
FAM13B	13.80824724	0.36	39
FAM13C	11.71024236	0.73	-15
FAM149A	12.83074022	0.41	-13
FAM149B1	12.55836014	0.23	5.33
FAM151A	13.49135259	0.36	20
FAM151B	12.6765699	0.55	35
FAM153A	14.05242762	0.48	18
FAM153B	13.29274224	0.62	19
FAM153C	13.77573801	0.36	32
FAM155A	11.19876252	0.86	-37
FAM157A	12.51787426	0.55	17.63
FAM157B	13.03901871	0.64	18.45
FAM160A1	12.59899454	0.37	19.4
FAM160A2	13.05330479	0.71	4
FAM160B1	12.24993162	0.18	16
FAM160B2	13.27829476	0.22	34
FAM161A	13.53933272	0.25	34
FAM161B	13.0014176	0.16	51
FAM162A	12.93866888	0.48	34
FAM162B	12.40896043	0.47	14
FAM163A	13.03585515	0.42	-8
FAM163B	13.52571602	0.32	32.39
FAM166A	14.36063383	0.2	43
FAM166B	13.91838479	0.25	27
FAM167A	13.0880783	0.54	43
FAM167B	14.17133854	0.19	43
FAM168A	13.16515655	0.27	48
FAM168B	13.04230017	0.32	16
FAM169A	12.95960913	0.57	31
FAM169B	11.91785043	0.57	-53
FAM170A	12.59950903	0.53	-2
FAM170B	13.30019263	0.66	26.39
FAM171A1	12.26272232	0.65	8
FAM171A2	12.9689447	0.17	23.53
FAM171B	12.4849082	0.37	-9
FAM172A	12.48390133	0.55	6
FAM173A	14.0043028	0.19	33
FAM173B	13.34338468	0.32	5
FAM174A	10.07111839	0.77	13
FAM174B	12.54686767	0.32	-17
FAM177A1	13.37077538	0.17	45
FAM177B	12.30913452	0.24	-4
FAM178B	13.42577213	0.36	46
FAM180A	13.06245625	0.31	-1
FAM181A	12.40078792	0.6	15
FAM181B	12.62334445	0.6	-7
FAM182B	13.09489042	0.63	25.1
FAM183A	13.88130392	0.29	30
FAM184A	11.65511923	0.76	-1
FAM184B	12.71229271	0.67	20.86
FAM185A	13.68170595	0.33	30.71
FAM186A	12.89161537	0.14	18.53
FAM186B	14.61638415	0.22	53
FAM187B	13.55056276	0.33	7
FAM189A2	12.28574759	0.54	0
FAM189B	14.26972011	0.19	45
FAM192A	13.50304114	0.15	48
FAM193A	13.36476196	0.23	46
FAM193B	13.92911688	0.26	41
FAM196A	11.43840664	0.74	-36
FAM198A	13.0936719	0.47	29.74
FAM198B	11.72502425	0.81	-14
FAM19A1	11.7076037	0.77	-14
FAM19A2	11.82152719	0.77	-44
FAM19A3	13.23510082	0.32	27
FAM19A4	12.48272284	0.69	-15
FAM19A5	9.368539987	0.77	-88
FAM200A	14.19409904	0.29	56
FAM200B	13.14500733	0.33	30.33
FAM204A	12.09879362	0.75	4
FAM205A	12.68950333	0.21	24.44
FAM206A	12.72899185	0.47	12
FAM207A	13.52309061	0.17	74
FAM208A	12.25088347	0.42	34
FAM208B	13.42979513	0.3	35
FAM209A	12.48390512	0.55	-17
FAM209B	12.51731132	0.55	-27
FAM20A	13.40375621	0.23	-28
FAM20B	12.77386066	0.24	1
FAM210A	11.99162864	0.66	44
FAM210B	12.44775921	0.65	-43
FAM213A	12.73708906	0.55	-7
FAM214A	12.95061374	0.37	21
FAM214B	13.91853094	0.35	41
FAM215A	12.98338674	0.22	15.39
FAM216A	13.73458463	0.21	43
FAM216B	12.07774483	0.52	37
FAM217A	12.11562811	0.3	18
FAM217B	11.20635954	0.76	-36
FAM218A	13.43412954	0.71	28.2
FAM219A	13.35285904	0.3	40
FAM219B	13.54702047	0.19	46
FAM220A	12.43540325	0.17	14.13
FAM221A	12.84443888	0.36	19
FAM221B	13.65023843	0.19	54
FAM222A	13.57556413	0.42	45
FAM222B	14.34287407	0.18	36
FAM227A	13.22701894	0.21	26.99
FAM227B	12.38776067	0.4	-11
FAM228A	12.67912786	0.38	35
FAM229A	13.16017219	0.21	25.42
FAM229B	11.88499234	0.18	-5
FAM230A	13.18974254	0	32.84
FAM24A	12.57955849	0.62	14
FAM24B	12.57955849	0.59	14
FAM25A	13.02848632	0.14	24.75
FAM25E	13.41456023	0.56	20.39
FAM25G	11.54090049	0	23
FAM27B	11.89500993	0.86	5.96
FAM27E2	12.90892834	0.84	7.13
FAM27E3	13.11716595	0.86	20.37
FAM32A	13.57693987	0.22	34
FAM3B	12.32204515	0.52	24
FAM3C	11.5189473	0.54	-1
FAM3D	13.11708547	0.38	38
FAM43A	12.91533429	0.26	39
FAM43B	13.25899521	0.2	30
FAM45A	13.48970701	0.14	19
FAM47E	12.55465037	0.4	15.65
FAM47E-STBD1	12.52090392	0.41	9.22
FAM49A	9.016755623	0.82	-4
FAM49B	12.51427033	0.28	6
FAM50B	12.51241699	0.21	30
FAM53A	13.71278989	0.33	33
FAM53B	12.61232411	0.36	32
FAM53C	14.08738865	0.27	36
FAM57A	13.40412747	0.48	10
FAM57B	12.92413573	0.21	24.36
FAM69A	13.32022686	0.32	13
FAM69B	14.45678586	0.17	39
FAM69C	11.99823634	0.75	7
FAM71A	12.92164157	0.22	26
FAM71B	12.0257431	0.84	18
FAM71D	13.0807494	0.26	19
FAM71E1	13.85307317	0.43	30
FAM71E2	12.72954356	0.19	14.36
FAM71F1	13.68238937	0.27	30
FAM71F2	13.68238937	0.24	30
FAM72A	13.57183772	0.44	11
FAM72B	12.89577139	0	14
FAM76A	13.50790465	0.21	35
FAM76B	12.60779409	0.49	2
FAM78A	13.52126164	0.21	50
FAM78B	12.67761571	0.67	-12
FAM81A	13.32715557	0.18	39
FAM81B	12.66508168	0.51	4
FAM83A	13.16131098	0.17	22
FAM83B	10.15128469	0.48	-15
FAM83C	14.07055037	0.16	45
FAM83D	12.48137212	0.55	30
FAM83E	14.28370568	0.24	31
FAM83F	13.47598206	0.39	28
FAM83G	12.92928432	0.22	22.63
FAM83H	14.59595133	0.23	28
FAM84A	10.97311721	0.84	-10
FAM84B	12.2228216	0.57	-8
FAM86B2	12.62385146	0.49	18.19
FAM86C1	13.49551602	0.46	35
FAM89A	12.83908493	0.6	12
FAM89B	15.1881671	0.2	45
FAM8A1	13.06217591	0.41	13
FAM90A1	12.05800178	0.44	26
FAM91A1	13.08970381	0.27	10
FAM92B	13.22353453	0.27	36
FAM96A	13.51511332	0.22	48
FAM96B	13.75680672	0.14	34
FAM98A	11.66886882	0.7	5
FAM98B	11.48663282	0.62	-15
FAM98C	14.19892022	0.22	0
FAN1	12.54287697	0.59	19
FANCA	14.02608748	0.22	41
FANCC	12.01684731	0.43	38
FANCD2	13.69378238	0.16	41
FANCD2OS	13.62423503	0.17	39
FANCE	13.43492341	0.26	36
FANCF	10.86045947	0.85	-4
FANCG	13.57018147	0.35	42
FANCI	13.37372892	0.39	25
FANCL	12.19561819	0.55	9
FANCM	12.36501469	0.56	8
FANK1	12.24049823	0.59	-8
FAP	11.16826379	0.54	5
FAR1	12.05397569	0.63	-7
FAR2	11.56099156	0.67	-4
FARP1	13.11185839	0.5	35
FARP2	14.01528722	0.32	31
FARS2	11.75926978	0.69	28
FARSA	14.4503976	0.22	40
FARSB	12.49738686	0.51	18
FAS	12.14150212	0.32	39
FASLG	11.66419486	0.51	7
FASN	15.16376395	0.19	34
FASTK	13.34085292	0.37	41
FASTKD1	12.78871834	0.42	30
FASTKD2	12.24032913	0.75	1
FASTKD3	11.09408632	0.81	-18
FASTKD5	12.86906867	0.19	21.84
FAT1	12.77130975	0.6	-13
FAT2	13.50279235	0.56	27
FAT3	10.38040473	0.83	-33
FAT4	9.668714136	0.7	-10
FAXC	12.46594149	0.62	-11
FAXDC2	13.17300896	0.29	35
FBF1	14.32712987	0.18	22
FBL	14.06963171	0.53	23
FBLIM1	13.53102736	0.17	29
FBLL1	13.38096826	0.38	21.37
FBLN1	13.01432372	0.19	3
FBLN2	12.836075	0.23	36
FBLN5	12.71862677	0.46	29
FBLN7	13.33074776	0.45	19.99
FBN1	12.89733054	0.27	-1
FBN2	12.33160337	0.56	9
FBN3	13.72665202	0.34	15
FBP1	12.47155512	0.43	38
FBP2	12.47385681	0.43	41
FBRS	14.62866497	0.12	60
FBRSL1	12.61449513	0.3	5.02
FBXL12	13.88307574	0.58	-26
FBXL13	13.48788943	0.42	30
FBXL14	12.71694827	0.26	28
FBXL16	14.0043028	0.19	33
FBXL17	11.2111039	0.75	4
FBXL18	14.46091026	0.2	34
FBXL19	14.22659916	0.17	46
FBXL2	13.11560459	0.33	15
FBXL20	14.1991853	0.18	20
FBXL22	13.53346988	0.2	47
FBXL3	12.29603674	0.55	34
FBXL4	12.37966454	0.84	-6
FBXL5	12.15909634	0.37	37
FBXL7	9.535679436	0.83	-27
FBXL8	13.90471761	0.14	47
FBXO10	13.14585136	0.29	34
FBXO11	13.0953395	0.56	27
FBXO15	11.91618147	0.8	-6
FBXO16	12.5959333	0.22	47
FBXO17	14.40030664	0.22	21
FBXO2	13.43330826	0.4	32
FBXO21	12.23857856	0.21	20
FBXO22	13.21894729	0.34	47
FBXO24	14.31696743	0.19	60
FBXO25	12.0655339	0.76	-19
FBXO27	14.31846226	0.28	32
FBXO28	13.36755331	0.17	13
FBXO3	13.53570274	0.42	15
FBXO30	11.25521635	0.64	-2.98
FBXO31	13.26509309	0.3	18
FBXO32	13.19095243	0.2	19
FBXO33	12.65997547	0.35	13
FBXO34	13.52014572	0.2	38
FBXO36	12.77168471	0.65	28
FBXO38	11.32552302	0.44	1
FBXO39	13.74952673	0.42	5
FBXO4	11.63917038	0.63	23
FBXO40	12.57730856	0.61	25
FBXO41	13.19364908	0.44	20
FBXO42	13.57807283	0.18	42
FBXO43	13.60572366	0.4	25
FBXO44	13.43330826	0.4	32
FBXO45	13.95457139	0.16	30
FBXO46	13.74190277	0.18	43
FBXO47	14.04412631	0.15	31
FBXO48	12.26475185	0.59	30
FBXO5	12.00997868	0.56	-5
FBXO6	13.43330826	0.33	32
FBXO7	12.82487067	0.4	3
FBXO8	11.07804184	0.66	-5
FBXO9	13.01735835	0.39	26
FBXW10	13.53156018	0.39	-6
FBXW11	12.85010048	0.39	36
FBXW12	14.15299014	0.26	32
FBXW2	13.37714202	0.15	21
FBXW4	13.54651415	0.38	29
FBXW5	14.49836343	0.18	34
FBXW7	11.67244741	0.43	51
FBXW8	12.24989334	0.35	16
FBXW9	14.49233322	0.22	15
FCAMR	13.0561381	0.38	26
FCAR	13.72563727	0.57	-19
FCER1A	12.56367716	0.68	-6
FCER1G	13.49897486	0.23	37
FCER2	13.44224445	0.38	31
FCF1	13.69483334	0.2	43
FCGBP	14.08752656	0.52	29
FCGR1A	13.46438758	0.52	20.01
FCGR2A	13.51609863	0.35	41
FCGR2B	13.30181582	0.48	20
FCGR3A	13.44911423	0.45	23
FCGR3B	13.37817391	0.5	22
FCGRT	14.54794672	0.21	41
FCHO1	13.98250272	0.23	21
FCHO2	13.01570647	0.41	18
FCHSD1	13.55619953	0.35	25
FCHSD2	13.07234926	0.27	46
FCN1	12.37818392	0.44	35
FCN2	12.3439502	0.42	26
FCN3	13.67177413	0.19	28
FCRL1	11.63678776	0.75	26
FCRL2	11.63678776	0.77	26
FCRL3	12.10197799	0.76	21
FCRL4	12.35647345	0.72	28
FCRL5	12.36700457	0.72	25
FCRL6	13.59418161	0.45	6
FCRLA	13.30181582	0.5	20
FCRLB	13.30181582	0.5	20
FDCSP	12.16241852	0.88	7
FDFT1	13.06205483	0.36	34
FDPS	14.26972011	0.19	45
FDX1	11.82845128	0.16	6
FDXACB1	12.9888617	0.21	22
FDXR	13.84265577	0.32	20
FECH	12.62789327	0.35	38
FEM1A	13.59098731	0.2	23
FEM1B	12.83882471	0.44	37
FEM1C	12.77347235	0.48	23
FEN1	14.02999916	0.21	59
FER	11.85118895	0.6	20
FER1L5	13.71731652	0.23	41
FER1L6	13.02375336	0.45	15
FERD3L	11.54584754	0.77	-15
FERMT1	12.61928765	0.32	-16
FERMT2	12.64200229	0.17	12
FERMT3	14.28700745	0.28	57
FES	13.63393712	0.18	42
FETUB	13.13885858	0.42	45
FEV	13.73447619	0.39	35
FEZ1	12.80304477	0.65	21
FEZ2	13.02030186	0.37	-3
FEZF1	11.02258851	0.87	-15
FEZF2	12.27240331	0.83	-3
FFAR1	13.5503894	0.47	9
FFAR2	13.6262816	0.35	29
FFAR3	13.5503894	0.47	9
FFAR4	13.01755604	0.17	20
FGA	11.00146631	0.86	-4
FGB	11.00014794	0.86	20
FGD2	13.63165262	0.22	41
FGD3	13.07763794	0.46	43
FGD4	12.78775181	0.41	-9
FGD5	13.10142571	0.5	39
FGD6	12.82224968	0.5	32
FGF1	12.58833395	0.48	28
FGF10	11.58274066	0.76	-39
FGF11	14.46068734	0.21	33
FGF12	10.43617251	0.78	0
FGF14	11.32086867	0.77	-2
FGF17	13.27829476	0.22	34
FGF18	12.61433384	0.35	30
FGF19	13.05011951	0.43	38
FGF2	11.84887614	0.12	18
FGF20	12.08323812	0.7	-38
